tradingDate,open,high,low,close,volume
2021-03-09,10.39,10.5,10.25,10.25,6667000.0
2021-03-10,10.33,10.33,10.17,10.28,3536600.0
2021-03-11,10.3,10.44,10.28,10.37,471800.0
2021-03-12,10.47,10.47,10.34,10.44,166500.0
2021-03-15,10.4,10.45,10.31,10.41,178800.0
2021-03-16,10.46,10.46,10.36,10.44,289100.0
2021-03-17,10.36,10.44,10.33,10.36,82900.0
2021-03-18,10.34,10.35,10.29,10.32,74500.0
2021-03-19,10.3,10.32,10.2,10.28,229500.0
2021-03-22,10.3,10.35,10.25,10.27,206700.0
2021-03-23,10.25,10.3,10.15,10.17,266400.0
2021-03-24,10.13,10.13,9.95,10.05,689300.0
2021-03-25,9.99,10.16,9.94,10.1,452200.0
2021-03-26,10.09,10.16,9.82,9.97,571000.0
2021-03-29,9.95,10.35,9.95,10.0,75200.0
2021-03-30,10.1,10.1,10.0,10.09,65100.0
2021-03-31,10.19,10.19,10.05,10.1,12300.0
2021-04-01,10.1,10.1,10.05,10.1,75600.0
2021-04-05,10.15,10.16,10.06,10.09,56900.0
2021-04-06,10.1,10.1,10.04,10.07,34700.0
2021-04-07,10.1,10.2,10.09,10.19,224800.0
2021-04-08,10.24,10.27,10.17,10.27,74800.0
2021-04-09,10.25,10.26,10.23,10.25,14400.0
2021-04-12,10.21,10.25,10.1,10.15,68700.0
2021-04-13,10.15,10.18,10.1,10.15,123900.0
2021-04-14,10.11,10.27,10.11,10.21,36500.0
2021-04-15,10.23,10.36,10.23,10.35,94500.0
2021-04-16,10.33,10.35,10.19,10.2,151400.0
2021-04-19,10.2,10.27,10.15,10.23,28000.0
2021-04-20,10.2,10.23,10.15,10.2,20200.0
2021-04-21,10.2,10.29,10.18,10.29,19500.0
2021-04-22,10.2,10.2,10.18,10.18,8700.0
2021-04-23,10.18,10.7,10.18,10.54,412900.0
2021-04-26,10.5,10.5,10.21,10.48,176100.0
2021-04-27,10.42,10.44,10.27,10.33,23800.0
2021-04-28,10.25,10.28,10.24,10.25,20100.0
2021-04-29,10.34,10.34,10.28,10.3,23400.0
2021-04-30,10.35,10.49,10.3,10.49,19600.0
2021-05-03,10.5,10.58,10.16,10.17,135300.0
2021-05-04,10.17,10.2,10.01,10.13,1316200.0
2021-05-05,10.12,10.2,10.1,10.14,65300.0
2021-05-06,10.14,10.24,10.12,10.24,65200.0
2021-05-07,10.2,10.2,10.15,10.2,14000.0
2021-05-10,10.16,10.2,10.11,10.2,65900.0
2021-05-11,10.06,10.1,10.02,10.03,45600.0
2021-05-12,10.05,10.11,9.96,9.96,587600.0
2021-05-13,9.95,10.07,9.95,9.97,130100.0
2021-05-14,10.01,10.01,10.0,10.0,24000.0
2021-05-17,10.02,10.02,9.98,9.99,10700.0
2021-05-18,9.98,9.98,9.93,9.94,612500.0
2021-05-19,9.96,10.0,9.93,9.94,332700.0
2021-05-20,9.94,10.03,9.94,9.96,124900.0
2021-05-21,9.97,9.99,9.97,9.97,4200.0
2021-05-24,10.02,10.02,9.94,9.96,6700.0
2021-05-25,9.94,10.02,9.94,9.96,26800.0
2021-05-26,10.05,10.05,9.94,9.95,12800.0
2021-05-27,9.95,10.0,9.94,9.96,36600.0
2021-05-28,9.96,10.0,9.93,9.95,3600.0
2021-06-01,9.94,9.95,9.88,9.89,35700.0
2021-06-02,9.89,9.99,9.88,9.95,53800.0
2021-06-03,9.91,10.02,9.87,10.0,66600.0
2021-06-04,9.91,10.0,9.91,9.98,24400.0
2021-06-07,9.88,9.98,9.88,9.97,5600.0
2021-06-08,9.95,10.0,9.95,9.98,12000.0
2021-06-09,9.95,10.0,9.94,9.98,74800.0
2021-06-10,9.99,9.99,9.92,9.95,16600.0
2021-06-11,9.92,9.98,9.91,9.96,19900.0
2021-06-14,9.94,9.98,9.9,9.96,67700.0
2021-06-15,9.92,10.0,9.92,9.95,173100.0
2021-06-16,9.98,10.0,9.96,9.98,27900.0
2021-06-17,10.04,10.04,9.93,9.95,22400.0
2021-06-18,9.95,9.97,9.93,9.95,24400.0
2021-06-21,9.96,9.97,9.93,9.95,78900.0
2021-06-22,9.94,9.97,9.9,9.95,53900.0
2021-06-23,9.95,9.97,9.93,9.95,13400.0
2021-06-24,9.93,9.96,9.9,9.95,19300.0
2021-06-25,9.95,10.0,9.91,9.91,64100.0
2021-06-28,9.91,9.94,9.89,9.92,115100.0
2021-06-29,9.9,9.92,9.88,9.92,37300.0
2021-06-30,9.86,9.94,9.86,9.94,48800.0
2021-07-01,9.9,9.93,9.9,9.92,3200.0
2021-07-02,9.87,9.92,9.86,9.91,6000.0
2021-07-06,9.98,9.98,9.9,9.93,12000.0
2021-07-07,9.9,9.93,9.9,9.9,24200.0
2021-07-08,9.9,9.95,9.86,9.95,53100.0
2021-07-09,9.94,9.95,9.92,9.95,19900.0
2021-07-12,9.88,9.95,9.86,9.95,2100.0
2021-07-13,9.93,9.95,9.91,9.95,6200.0
2021-07-14,9.93,9.94,9.91,9.93,2500.0
2021-07-15,9.9,9.93,9.85,9.92,14300.0
2021-07-16,9.92,9.95,9.91,9.92,105800.0
2021-07-19,9.88,9.95,9.85,9.95,25000.0
2021-07-20,9.91,9.95,9.9,9.95,1966200.0
2021-07-21,9.95,9.95,9.9,9.92,19500.0
2021-07-22,9.9,9.92,9.9,9.92,23400.0
2021-07-23,9.87,9.92,9.87,9.9,9900.0
2021-07-26,9.9,9.9,9.86,9.86,6600.0
2021-07-27,9.86,9.89,9.85,9.89,23600.0
2021-07-28,9.88,9.89,9.84,9.84,231200.0
2021-07-29,9.84,9.85,9.82,9.85,19900.0
2021-07-30,9.82,9.88,9.76,9.8,141800.0
2021-08-02,9.8,9.86,9.74,9.79,1062700.0
2021-08-03,9.79,9.83,9.78,9.8,10300.0
2021-08-04,9.79,9.84,9.76,9.82,53900.0
2021-08-05,9.77,9.83,9.77,9.83,1100.0
2021-08-06,9.78,9.83,9.78,9.83,2800.0
2021-08-09,9.8,9.84,9.76,9.8,477900.0
2021-08-10,9.8,9.8,9.75,9.79,411200.0
2021-08-11,9.75,9.8,9.75,9.75,19100.0
2021-08-12,9.75,9.77,9.7,9.77,9000.0
2021-08-13,9.71,9.8,9.71,9.76,136600.0
2021-08-16,9.74,9.8,9.73,9.8,37900.0
2021-08-17,9.75,9.8,9.75,9.78,1900.0
2021-08-18,9.79,9.79,9.71,9.78,5000.0
2021-08-19,9.7,9.78,9.7,9.72,25300.0
2021-08-20,9.71,9.78,9.68,9.69,41800.0
2021-08-23,9.7,9.78,9.68,9.7,269300.0
2021-08-24,9.67,9.73,9.67,9.7,159400.0
2021-08-25,9.67,9.71,9.65,9.7,311400.0
2021-08-26,9.68,9.69,9.68,9.69,25800.0
2021-08-27,9.67,9.69,9.67,9.69,1400.0
2021-08-30,9.66,9.69,9.66,9.69,7400.0
2021-08-31,9.7,9.78,9.7,9.74,3000.0
2021-09-01,9.73,9.73,9.7,9.73,8500.0
2021-09-02,9.72,9.74,9.72,9.73,4200.0
2021-09-03,9.74,9.74,9.74,9.74,100.0
2021-09-07,9.72,9.74,9.72,9.74,400.0
2021-09-08,9.74,9.74,9.72,9.73,3600.0
2021-09-09,9.73,9.84,9.73,9.83,19700.0
2021-09-10,9.81,9.86,9.77,9.84,27600.0
2021-09-13,9.8,9.85,9.8,9.8,3900.0
2021-09-14,9.77,9.85,9.77,9.85,1900.0
2021-09-15,9.8,9.8,9.78,9.8,6600.0
2021-09-16,9.74,9.8,9.73,9.77,229100.0
2021-09-17,9.81,9.81,9.77,9.8,1700.0
2021-09-20,9.77,9.82,9.73,9.73,5000.0
2021-09-21,9.72,9.8,9.72,9.8,58200.0
2021-09-22,9.8,9.8,9.8,9.8,0.0
2021-09-23,9.8,9.8,9.8,9.8,800.0
2021-09-24,9.76,9.8,9.76,9.8,7500.0
2021-09-27,9.8,9.82,9.76,9.8,3490100.0
2021-09-28,9.8,9.81,9.75,9.8,63800.0
2021-09-29,9.79,9.82,9.74,9.81,314300.0
2021-09-30,9.79,9.83,9.78,9.83,109900.0
2021-10-01,9.75,9.82,9.75,9.76,10300.0
2021-10-04,9.82,9.82,9.79,9.82,20300.0
2021-10-05,9.82,9.82,9.76,9.82,1227300.0
2021-10-06,9.8,9.85,9.76,9.85,63500.0
2021-10-07,9.85,9.85,9.81,9.83,28700.0
2021-10-08,9.78,9.85,9.78,9.85,5200.0
2021-10-11,9.8,9.82,9.8,9.82,300.0
2021-10-12,9.82,9.82,9.82,9.82,0.0
2021-10-13,9.8,9.82,9.8,9.81,69000.0
2021-10-14,9.74,9.83,9.74,9.83,77000.0
2021-10-15,9.89,9.89,9.8,9.86,134900.0
2021-10-18,9.87,10.24,9.79,9.89,559100.0
2021-10-19,9.91,9.95,9.85,9.95,139400.0
2021-10-20,9.95,9.95,9.89,9.92,121600.0
2021-10-21,9.94,9.94,9.89,9.9,86200.0
2021-10-22,9.9,9.9,9.88,9.9,368500.0
2021-10-25,9.87,9.91,9.85,9.9,151200.0
2021-10-26,9.87,9.98,9.87,9.98,369400.0
2021-10-27,9.98,9.99,9.92,9.94,189800.0
2021-10-28,9.94,9.99,9.86,9.95,26700.0
2021-10-29,9.96,9.99,9.88,9.99,150200.0
2021-11-01,9.99,10.09,9.99,10.05,1464800.0
2021-11-02,10.02,10.09,10.0,10.04,325500.0
2021-11-03,10.06,10.06,10.0,10.06,225200.0
2021-11-04,10.08,10.08,10.0,10.04,36700.0
2021-11-05,10.01,10.06,10.01,10.05,20600.0
2021-11-08,10.07,10.07,10.01,10.05,24800.0
2021-11-09,10.01,10.21,10.0,10.05,1458400.0
2021-11-10,10.01,10.05,10.0,10.0,224400.0
2021-11-11,10.01,10.03,9.99,10.02,514300.0
2021-11-12,10.02,10.02,9.97,9.98,18100.0
2021-11-15,9.99,10.1,9.93,10.07,515900.0
2021-11-16,10.03,10.06,10.01,10.05,5200.0
2021-11-17,10.01,10.07,10.0,10.0,28600.0
2021-11-18,10.04,10.06,9.94,10.01,22100.0
2021-11-19,9.96,10.0,9.95,9.95,120200.0
2021-11-22,9.95,10.0,9.92,9.96,30100.0
2021-11-23,9.98,9.98,9.94,9.98,15600.0
2021-11-24,9.9,9.98,9.9,9.92,9500.0
2021-11-26,9.85,9.89,9.81,9.87,20600.0
2021-11-29,9.89,9.99,9.88,9.99,37800.0
2021-11-30,10.0,10.02,9.93,10.0,161300.0
2021-12-01,9.96,10.0,9.95,10.0,18400.0
2021-12-02,9.94,9.99,9.85,9.99,30000.0
2021-12-03,9.9,10.04,9.83,10.02,97100.0
2021-12-06,9.99,10.05,9.94,10.05,45400.0
2021-12-07,10.0,10.0,9.9,9.9,6000.0
2021-12-08,9.84,9.9,9.84,9.87,54000.0
2021-12-09,9.9,9.95,9.86,9.95,12900.0
2021-12-10,9.91,9.92,9.89,9.92,16900.0
2021-12-13,9.95,10.0,9.93,9.99,1458000.0
2021-12-14,9.98,10.05,9.91,10.04,550900.0
2021-12-15,10.0,10.03,9.96,10.0,995300.0
2021-12-16,10.02,10.02,9.97,9.98,495100.0
2021-12-17,10.0,10.0,9.92,9.96,154500.0
2021-12-20,10.01,10.01,9.94,9.96,124200.0
2021-12-21,9.94,10.06,9.93,10.01,712600.0
2021-12-22,10.0,10.03,9.94,9.97,1374100.0
2021-12-23,9.97,10.0,9.96,9.97,351200.0
2021-12-27,9.99,10.05,9.98,9.99,586400.0
2021-12-28,10.01,10.01,9.95,9.96,86900.0
2021-12-29,9.98,10.03,9.95,10.0,129800.0
2021-12-30,9.97,10.03,9.97,10.0,10100.0
2021-12-31,10.03,10.03,9.97,10.0,28500.0
2022-01-03,10.02,10.05,9.97,10.02,73000.0
2022-01-04,10.02,10.08,9.99,10.0,340700.0
2022-01-05,10.01,10.04,9.98,9.98,227700.0
2022-01-06,9.97,10.01,9.97,9.99,11400.0
2022-01-07,9.98,10.01,9.98,9.98,26300.0
2022-01-10,9.97,10.0,9.97,9.98,13800.0
2022-01-11,9.97,10.0,9.97,10.0,166600.0
2022-01-12,10.03,10.03,9.97,9.97,6100.0
2022-01-13,9.97,10.02,9.96,9.96,1116100.0
2022-01-14,9.98,9.98,9.87,9.96,238100.0
2022-01-18,9.97,9.97,9.91,9.93,78700.0
2022-01-19,9.9,9.94,9.9,9.92,8500.0
2022-01-20,9.95,9.95,9.9,9.9,27900.0
2022-01-21,9.9,9.91,9.81,9.85,146300.0
2022-01-24,9.84,9.85,9.76,9.78,932500.0
2022-01-25,9.77,9.85,9.77,9.81,250500.0
2022-01-26,9.86,9.86,9.8,9.81,30300.0
2022-01-27,9.81,9.83,9.81,9.81,6100.0
2022-01-28,9.8,9.85,9.8,9.81,50100.0
2022-01-31,9.82,9.89,9.82,9.82,17700.0
2022-02-01,9.82,9.87,9.82,9.87,19600.0
2022-02-02,9.88,9.9,9.85,9.9,76800.0
2022-02-03,9.86,9.87,9.8,9.86,260400.0
2022-02-04,9.87,9.89,9.87,9.88,2800.0
2022-02-07,9.85,9.88,9.85,9.86,8700.0
2022-02-08,9.86,9.88,9.86,9.88,58500.0
2022-02-09,9.88,9.89,9.86,9.86,60900.0
2022-02-10,9.86,9.9,9.86,9.88,28800.0
2022-02-11,9.89,9.9,9.88,9.9,10200.0
2022-02-14,9.9,9.9,9.86,9.86,3700.0
2022-02-15,9.9,9.9,9.88,9.88,8300.0
2022-02-16,9.88,9.89,9.86,9.88,109200.0
2022-02-17,9.88,9.88,9.88,9.88,0.0
2022-02-18,9.88,9.89,9.87,9.87,3100.0
2022-02-22,9.88,9.89,9.87,9.89,40100.0
2022-02-23,9.88,9.89,9.88,9.88,1300.0
2022-02-24,9.87,9.89,9.87,9.88,34100.0
2022-02-25,9.89,9.9,9.87,9.89,24300.0
2022-02-28,9.87,9.89,9.87,9.87,52900.0
2022-03-01,9.89,9.9,9.89,9.9,4900.0
2022-03-02,9.89,9.9,9.87,9.88,391300.0
2022-03-03,9.87,9.89,9.87,9.89,119300.0
2022-03-04,9.88,9.9,9.88,9.89,34600.0
2022-03-07,9.85,9.87,9.85,9.86,1512000.0
2022-03-08,9.86,9.89,9.86,9.89,141400.0
2022-03-09,9.89,9.9,9.87,9.89,18900.0
2022-03-10,9.87,9.88,9.86,9.87,47800.0
2022-03-11,9.89,9.89,9.87,9.87,137200.0
2022-03-14,9.92,9.92,9.87,9.88,10100.0
2022-03-15,9.91,9.92,9.87,9.92,137700.0
2022-03-16,9.88,9.92,9.87,9.92,24300.0
2022-03-17,9.88,9.92,9.87,9.92,329400.0
2022-03-18,9.91,9.92,9.88,9.92,7600.0
2022-03-21,9.9,9.91,9.89,9.89,29400.0
2022-03-22,9.89,9.9,9.88,9.89,458000.0
2022-03-23,9.89,9.9,9.89,9.9,460600.0
2022-03-24,9.9,9.9,9.89,9.89,51000.0
